,Year,Category,Prize Share,Laureate ID,Laureate Type,FullName,BirthDate,Birth City,Birth Country,Sex,OrganizationName,OrganizationCountry
0,1901,Chemistry,1/1,160,Individual,Jacobus Henricus van 't Hoff,1852-08-30,Rotterdam,Netherlands,Male,Berlin University,Germany
1,1901,Literature,1/1,569,Individual,Sully Prudhomme,1839-03-16,Paris,France,Male,Not Applicable,Not Applicable
2,1901,Medicine,1/1,293,Individual,Emil Adolf von Behring,1854-03-15,Hansdorf (Lawice),Prussia (Poland),Male,Marburg University,Germany
3,1901,Peace,1/2,462,Individual,Jean Henry Dunant,1828-05-08,Geneva,Switzerland,Male,Not Applicable,Not Applicable
4,1901,Peace,1/2,463,Individual,Frédéric Passy,1822-05-20,Paris,France,Male,Not Applicable,Not Applicable
5,1901,Physics,1/1,1,Individual,Wilhelm Conrad Röntgen,1845-03-27,Lennep (Remscheid),Prussia (Germany),Male,Munich University,Germany
6,1902,Chemistry,1/1,161,Individual,Hermann Emil Fischer,1852-10-09,Euskirchen,Prussia (Germany),Male,Berlin University,Germany
7,1902,Literature,1/1,571,Individual,Christian Matthias Theodor Mommsen,1817-11-30,Garding,Schleswig (Germany),Male,Not Applicable,Not Applicable
8,1902,Medicine,1/1,294,Individual,Ronald Ross,1857-05-13,Almora,India,Male,University College,United Kingdom
9,1902,Peace,1/2,464,Individual,Élie Ducommun,1833-02-19,Geneva,Switzerland,Male,Not Applicable,Not Applicable
10,1902,Peace,1/2,465,Individual,Charles Albert Gobat,1843-05-21,Tramelan,Switzerland,Male,Not Applicable,Not Applicable
11,1902,Physics,1/2,2,Individual,Hendrik Antoon Lorentz,1853-07-18,Arnhem,Netherlands,Male,Leiden University,Netherlands
12,1902,Physics,1/2,3,Individual,Pieter Zeeman,1865-05-25,Zonnemaire,Netherlands,Male,Amsterdam University,Netherlands
13,1903,Chemistry,1/1,162,Individual,Svante August Arrhenius,1859-02-19,Vik,Sweden,Male,Stockholm University,Sweden
14,1903,Literature,1/1,572,Individual,Bjørnstjerne Martinus Bjørnson,1832-12-08,Kvikne,Norway,Male,Not Applicable,Not Applicable
15,1903,Medicine,1/1,295,Individual,Niels Ryberg Finsen,1860-12-15,Thorshavn,Faroe Islands (Denmark),Male,Finsen Medical Light Institute,Denmark
16,1903,Peace,1/1,466,Individual,William Randal Cremer,1828-03-18,Fareham,United Kingdom,Male,Not Applicable,Not Applicable
17,1903,Physics,1/2,4,Individual,Antoine Henri Becquerel,1852-12-15,Paris,France,Male,École Polytechnique,France
18,1903,Physics,1/4,5,Individual,Pierre Curie,1859-05-15,Paris,France,Male,École municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry),France
19,1903,Physics,1/4,6,Individual,"Marie Curie, née Sklodowska",1867-11-07,Warsaw,Russian Empire (Poland),Female,,
20,1904,Chemistry,1/1,163,Individual,Sir William Ramsay,1852-10-02,Glasgow,Scotland,Male,University College,United Kingdom
21,1904,Literature,1/2,573,Individual,Frédéric Mistral,1830-09-08,Maillane,France,Male,Not Applicable,Not Applicable
22,1904,Literature,1/2,574,Individual,José Echegaray y Eizaguirre,1832-04-19,Madrid,Spain,Male,Not Applicable,Not Applicable
23,1904,Medicine,1/1,296,Individual,Ivan Petrovich Pavlov,1849-09-14,Ryazan,Russia,Male,Military Medical Academy,Russia
24,1904,Peace,1/1,467,Organization,Institut de droit international (Institute of International Law),,,,org,Not Applicable,Not Applicable
25,1904,Physics,1/1,8,Individual,Lord Rayleigh (John William Strutt),1842-11-12,"Langford Grove, Maldon, Essex",United Kingdom,Male,Royal Institution of Great Britain,United Kingdom
26,1905,Chemistry,1/1,164,Individual,Johann Friedrich Wilhelm Adolf von Baeyer,1835-10-31,Berlin,Prussia (Germany),Male,Munich University,Germany
27,1905,Literature,1/1,575,Individual,Henryk Sienkiewicz,1846-05-05,Wola Okrzejska,Poland,Male,Not Applicable,Not Applicable
28,1905,Medicine,1/1,297,Individual,Robert Koch,1843-12-11,Clausthal (Clausthal-Zellerfeld),Germany,Male,Institute for Infectious Diseases,Germany
29,1905,Peace,1/1,468,Individual,"Baroness Bertha Sophie Felicita von Suttner, née Countess Kinsky von Chinic und Tettau",1843-06-09,Prague,Austrian Empire (Czech Republic),Female,Not Applicable,Not Applicable
30,1905,Physics,1/1,9,Individual,Philipp Eduard Anton von Lenard,1862-06-07,Pressburg (Bratislava),Hungary (Slovakia),Male,Kiel University,Germany
31,1906,Chemistry,1/1,165,Individual,Henri Moissan,1852-09-28,Paris,France,Male,Sorbonne University,France
32,1906,Literature,1/1,576,Individual,Giosuè Carducci,1835-07-27,Val di Castello,Tuscany (Italy),Male,Not Applicable,Not Applicable
